File,Plate No,Plate ID,Trial,Day,PoreSize,MilkType,PlateType,Concentration,Count Used,Counted Colonies,Total Count,Dilution,Dilution Factor,Notes,Timestamp,Date/Time,Mode,Reduced Rgn,Samp Volume,Area Mult,Low Count,High Count,Results Group Name,Plate Id,Method,Colony Class,Counted Volume,Comments,Inoculated Volume,Inoculation mode,"Input Values: (Tr. to Back, Plate Diam, min Diam)",Excluded Area,Concentrationsphere,UTC Created Time,Count From Automatic Process,Operator,Device SN,Spreader,Column,Flag,Red,Blue,Violet,White,Yellow,Green,Other,Avg Diam,User ID,Source,Input,Min Size,Max Size,Plater,Shutter,Light,Light Col,Grid,Grid Area
MF1_RawMilk.csv,1.1,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,16,16,,16,0,,,Mon Jul 19 2021 10:05:59,Mon Jul 19 2021 10:05:59,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,1.2,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,29,29,,29,0,,,Mon Jul 19 2021 10:07:15,Mon Jul 19 2021 10:07:15,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,1.3,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,23,23,,23,0,,,Mon Jul 19 2021 10:08:41,Mon Jul 19 2021 10:08:41,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,1.4,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,27,27,,27,0,,,Mon Jul 19 2021 10:09:46,Mon Jul 19 2021 10:09:46,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,1.5,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,34,34,,34,0,,,Mon Jul 19 2021 10:11:18,Mon Jul 19 2021 10:11:18,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,1.6,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,31,31,,31,0,,,Mon Jul 19 2021 10:12:35,Mon Jul 19 2021 10:12:35,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,1.7,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,35,35,,35,0,,,Mon Jul 19 2021 10:13:34,Mon Jul 19 2021 10:13:34,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,1.8,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,33,33,,33,0,,,Mon Jul 19 2021 10:14:30,Mon Jul 19 2021 10:14:30,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,1.9,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,26,26,,26,0,,,Mon Jul 19 2021 10:15:39,Mon Jul 19 2021 10:15:39,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,1.1,1.2 Raw Skim MSC,1,0,1.2,rawskim,MSC,38,38,,38,0,,,Mon Jul 19 2021 10:16:51,Mon Jul 19 2021 10:16:51,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,2.1,1.2 Raw Cream MSC,1,0,1.2,rawcream,MSC,0,0,,0,10,,,Mon Jul 19 2021 10:17:47,Mon Jul 19 2021 10:17:47,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,2.2,1.2 Raw Cream MSC,1,0,1.2,rawcream,MSC,10,1,,10000000000,10,,,Mon Jul 19 2021 10:18:35,Mon Jul 19 2021 10:18:35,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,2.3,1.2 Raw Cream MSC,1,0,1.2,rawcream,MSC,10,1,,10000000000,10,,,Mon Jul 19 2021 10:18:56,Mon Jul 19 2021 10:18:56,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,2.4,1.2 Raw Cream MSC,1,0,1.2,rawcream,MSC,30,3,,30000000000,10,,,Mon Jul 19 2021 10:19:21,Mon Jul 19 2021 10:19:21,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,2.5,1.2 Raw Cream MSC,1,0,1.2,rawcream,MSC,20,2,,20000000000,10,,,Mon Jul 19 2021 10:19:46,Mon Jul 19 2021 10:19:46,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,2.6,1.2 Raw Cream MSC,1,0,1.2,rawcream,MSC,0,0,,0,10,,,Mon Jul 19 2021 10:20:07,Mon Jul 19 2021 10:20:07,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1_RawMilk.csv,2.7,1.2 Raw Cream MSC,1,0,1.2,rawcream,MSC,0,0,,0,10,,,Mon Jul 19 2021 10:20:21,Mon Jul 19 2021 10:20:21,,FALSE,1,0,20,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
